Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,150.509995,152.960007,150.25,152.520004,3902200,152.520004
2016-03-31,149.789993,153.100006,149.360001,151.449997,6743300,151.449997
2016-03-30,149.949997,150.410004,148.320007,148.410004,3301100,148.410004
2016-03-29,147.589996,149.759995,147.50,149.330002,3116400,149.330002
2016-03-28,147.75,148.649994,147.229996,148.399994,3260800,148.399994
2016-03-24,144.979996,148.220001,144.490005,147.949997,5042700,147.949997
2016-03-23,148.00,148.029999,145.130005,145.399994,4753800,145.399994
2016-03-22,148.059998,149.279999,147.839996,148.100006,4054600,148.100006
2016-03-21,147.300003,148.710007,146.720001,148.630005,3425200,148.630005
2016-03-18,147.399994,147.509995,145.509995,147.089996,11997700,147.089996
2016-03-17,144.779999,147.320007,144.449997,147.039993,5819100,147.039993
2016-03-16,142.619995,144.880005,142.110001,144.789993,4192800,144.789993
2016-03-15,141.740005,143.330002,141.539993,142.960007,3647800,142.960007
2016-03-14,142.009995,143.190002,141.039993,142.779999,4043100,142.779999
2016-03-11,141.729996,142.919998,140.509995,142.360001,4350000,142.360001
2016-03-10,141.240005,141.470001,138.089996,140.190002,4009600,140.190002
2016-03-09,139.309998,142.169998,139.229996,140.410004,4378000,140.410004
2016-03-08,139.710007,140.350006,137.419998,139.070007,5537900,139.070007
2016-03-07,137.279999,140.509995,136.869995,140.149994,5142400,140.149994
2016-03-04,137.539993,139.419998,137.020004,137.800003,3945100,137.800003
2016-03-03,137.220001,137.960007,136.070007,137.800003,5141200,137.800003
2016-03-02,133.699997,137.440002,133.220001,136.300003,5163000,136.300003
2016-03-01,132.240005,134.639999,132.029999,134.369995,3781100,134.369995
2016-02-29,132.00,133.360001,130.899994,131.029999,4253300,131.029999
2016-02-26,134.509995,134.919998,131.949997,132.029999,4382900,132.029999
2016-02-25,133.289993,134.509995,130.880005,134.50,4353600,134.50
2016-02-24,131.550003,133.490005,129.679993,132.800003,4079800,132.800003
2016-02-23,133.139999,133.410004,132.009995,132.399994,3366800,132.399994
2016-02-22,133.080002,134.309998,132.410004,133.770004,4440500,133.770004
2016-02-19,132.360001,133.649994,130.839996,133.080002,5108500,133.080002
2016-02-18,130.00,134.00,129.75,132.449997,9924900,132.449997
2016-02-17,123.709999,126.57,123.25,126.099998,4805500,126.099998
2016-02-16,121.830002,123.089996,121.339996,122.739998,4015600,122.739998
2016-02-12,119.260002,121.050003,118.349998,121.040001,4899000,121.040001
2016-02-11,118.779999,119.660004,116.900002,117.849998,7196100,117.849998
2016-02-10,125.00,125.290001,119.839996,120.190002,6435100,120.190002
2016-02-09,126.120003,126.93,123.769997,124.07,5957200,124.07
2016-02-08,126.00,127.510002,124.129997,126.980003,7364000,126.980003
2016-02-05,127.220001,128.639999,125.849998,128.570007,7177700,127.270009
2016-02-04,125.080002,128.50,125.00,127.650002,5266500,126.359305
2016-02-03,123.989998,125.449997,122.290001,124.720001,6223500,123.458931
2016-02-02,123.669998,124.139999,122.639999,122.940002,3287300,121.69693
2016-02-01,124.400002,125.290001,123.709999,124.830002,3574900,123.567819
2016-01-29,123.279999,124.790001,122.959999,124.790001,8248100,123.528223
2016-01-28,121.260002,122.830002,121.010002,122.220001,3942500,120.984209
2016-01-27,122.730003,123.370003,120.650002,120.959999,5026400,119.736947
2016-01-26,122.25,123.610001,122.239998,122.589996,4617800,121.350463
2016-01-25,122.099998,124.230003,121.639999,122.080002,5446000,120.845625
2016-01-22,124.669998,124.739998,121.769997,122.50,9238400,121.261376
2016-01-21,121.300003,125.099998,120.580002,122.910004,8851600,121.667234
2016-01-20,118.459999,123.989998,118.00,121.860001,16157800,120.627848
2016-01-19,130.110001,132.100006,128.059998,128.110001,9979600,126.814653
2016-01-15,130.009995,130.880005,128.869995,130.029999,9008500,128.715238
2016-01-14,131.929993,133.789993,131.220001,132.910004,5709600,131.566122
2016-01-13,133.50,134.279999,131.100006,131.169998,4700100,129.84371
2016-01-12,133.649994,133.779999,131.130005,132.899994,5078700,131.556214
2016-01-11,131.809998,133.820007,131.759995,133.229996,4974400,131.882879
